"record_id","year","month","day","species_id","taxa","variable","value"
30178,2000,1,8,"PP","Rodent","weight","18"
30179,2000,1,8,"DM","Rodent","sex","M"
30179,2000,1,8,"DM","Rodent","hindfoot_length","36"
30179,2000,1,8,"DM","Rodent","weight","60"
30180,2000,1,8,"DO","Rodent","sex","M"
30180,2000,1,8,"DO","Rodent","hindfoot_length","36"
30180,2000,1,8,"DO","Rodent","weight","42"
30181,2000,1,8,"DO","Rodent","sex","M"
30181,2000,1,8,"DO","Rodent","hindfoot_length","35"
30181,2000,1,8,"DO","Rodent","weight","55"
30182,2000,1,8,"DO","Rodent","sex","M"
30182,2000,1,8,"DO","Rodent","hindfoot_length","36"
30182,2000,1,8,"DO","Rodent","weight","63"
30183,2000,1,8,"PB","Rodent","sex","M"
30183,2000,1,8,"PB","Rodent","hindfoot_length","25"
30183,2000,1,8,"PB","Rodent","weight","26"
30184,2000,1,8,"PP","Rodent","sex","M"
30184,2000,1,8,"PP","Rodent","hindfoot_length","21"
30184,2000,1,8,"PP","Rodent","weight","14"
30185,2000,1,8,"OT","Rodent","sex","F"
30185,2000,1,8,"OT","Rodent","hindfoot_length","20"
30185,2000,1,8,"OT","Rodent","weight","25"
30186,2000,1,8,"PB","Rodent","sex","F"
30186,2000,1,8,"PB","Rodent","hindfoot_length","25"
30186,2000,1,8,"PB","Rodent","weight","34"
30187,2000,1,8,"PB","Rodent","sex","F"
30187,2000,1,8,"PB","Rodent","hindfoot_length","26"
30187,2000,1,8,"PB","Rodent","weight","36"
30188,2000,1,8,"PB","Rodent","sex","M"
30188,2000,1,8,"PB","Rodent","hindfoot_length","25"
30188,2000,1,8,"PB","Rodent","weight","23"
30189,2000,1,8,"AH","Rodent","sex",""
30189,2000,1,8,"AH","Rodent","hindfoot_length",NA
30189,2000,1,8,"AH","Rodent","weight",NA
30190,2000,1,8,"PB","Rodent","sex","F"
30190,2000,1,8,"PB","Rodent","hindfoot_length","25"
30190,2000,1,8,"PB","Rodent","weight","22"
30191,2000,1,8,"PB","Rodent","sex","F"
30191,2000,1,8,"PB","Rodent","hindfoot_length","25"
30191,2000,1,8,"PB","Rodent","weight","22"
30192,2000,1,8,"PB","Rodent","sex","M"
30192,2000,1,8,"PB","Rodent","hindfoot_length","26"
30192,2000,1,8,"PB","Rodent","weight","38"
30193,2000,1,8,"PB","Rodent","sex","F"
30193,2000,1,8,"PB","Rodent","hindfoot_length","26"
30193,2000,1,8,"PB","Rodent","weight","33"
30194,2000,1,8,"PB","Rodent","sex","F"
30194,2000,1,8,"PB","Rodent","hindfoot_length","26"
30194,2000,1,8,"PB","Rodent","weight","32"
30195,2000,1,8,"SS","Rodent","sex",""
30195,2000,1,8,"SS","Rodent","hindfoot_length",NA
30195,2000,1,8,"SS","Rodent","weight",NA
30196,2000,1,8,"DM","Rodent","sex","M"
30196,2000,1,8,"DM","Rodent","hindfoot_length","37"
30196,2000,1,8,"DM","Rodent","weight","52"
30197,2000,1,8,"DM","Rodent","sex","F"
30197,2000,1,8,"DM","Rodent","hindfoot_length","34"
30197,2000,1,8,"DM","Rodent","weight","43"
30198,2000,1,8,"PP","Rodent","sex","M"
30198,2000,1,8,"PP","Rodent","hindfoot_length","22"
30198,2000,1,8,"PP","Rodent","weight","16"
30199,2000,1,8,"DO","Rodent","sex","F"
30199,2000,1,8,"DO","Rodent","hindfoot_length","35"
30199,2000,1,8,"DO","Rodent","weight","54"
30200,2000,1,8,"PB","Rodent","sex","M"
30200,2000,1,8,"PB","Rodent","hindfoot_length","26"
30200,2000,1,8,"PB","Rodent","weight","31"
30201,2000,1,8,"PP","Rodent","sex","F"
30201,2000,1,8,"PP","Rodent","hindfoot_length","22"
30201,2000,1,8,"PP","Rodent","weight","17"
30202,2000,1,8,"PB","Rodent","sex","M"
30202,2000,1,8,"PB","Rodent","hindfoot_length","25"
30202,2000,1,8,"PB","Rodent","weight","24"
30203,2000,1,8,"PB","Rodent","sex","M"
30203,2000,1,8,"PB","Rodent","hindfoot_length","26"
30203,2000,1,8,"PB","Rodent","weight","42"
30204,2000,1,8,"NL","Rodent","sex","F"
30204,2000,1,8,"NL","Rodent","hindfoot_length","35"
30204,2000,1,8,"NL","Rodent","weight","174"
30205,2000,1,8,"PB","Rodent","sex","F"
30205,2000,1,8,"PB","Rodent","hindfoot_length","25"
30205,2000,1,8,"PB","Rodent","weight","24"
30206,2000,1,8,"PP","Rodent","sex","M"
30206,2000,1,8,"PP","Rodent","hindfoot_length","20"
30206,2000,1,8,"PP","Rodent","weight","13"
30207,2000,1,8,"PB","Rodent","sex","F"
30207,2000,1,8,"PB","Rodent","hindfoot_length","25"
30207,2000,1,8,"PB","Rodent","weight","32"
30208,2000,1,8,"PP","Rodent","sex","M"
30208,2000,1,8,"PP","Rodent","hindfoot_length","22"
30208,2000,1,8,"PP","Rodent","weight","14"
30209,2000,1,8,"PB","Rodent","sex","M"
30209,2000,1,8,"PB","Rodent","hindfoot_length","27"
30209,2000,1,8,"PB","Rodent","weight","38"
30210,2000,1,8,"DM","Rodent","sex","M"
30210,2000,1,8,"DM","Rodent","hindfoot_length","38"
30210,2000,1,8,"DM","Rodent","weight","56"
30211,2000,1,8,"PB","Rodent","sex","F"
30211,2000,1,8,"PB","Rodent","hindfoot_length","26"
30211,2000,1,8,"PB","Rodent","weight","35"
30212,2000,1,8,"PB","Rodent","sex","M"
30212,2000,1,8,"PB","Rodent","hindfoot_length","26"
30212,2000,1,8,"PB","Rodent","weight","36"
30213,2000,1,8,"PB","Rodent","sex","F"
30213,2000,1,8,"PB","Rodent","hindfoot_length","26"
30213,2000,1,8,"PB","Rodent","weight","34"
30214,2000,1,8,"PB","Rodent","sex","M"
30214,2000,1,8,"PB","Rodent","hindfoot_length","26"
30214,2000,1,8,"PB","Rodent","weight","22"
30215,2000,1,8,"DM","Rodent","sex","F"
30215,2000,1,8,"DM","Rodent","hindfoot_length","34"
30215,2000,1,8,"DM","Rodent","weight","28"
30216,2000,1,8,"PB","Rodent","sex","F"
30216,2000,1,8,"PB","Rodent","hindfoot_length","25"
30216,2000,1,8,"PB","Rodent","weight","29"
30217,2000,1,8,"AH","Rodent","sex",""
30217,2000,1,8,"AH","Rodent","hindfoot_length",NA
30217,2000,1,8,"AH","Rodent","weight",NA
30218,2000,1,8,"AH","Rodent","sex",""
30218,2000,1,8,"AH","Rodent","hindfoot_length",NA
30218,2000,1,8,"AH","Rodent","weight",NA
30219,2000,1,8,"RM","Rodent","sex","M"
30219,2000,1,8,"RM","Rodent","hindfoot_length","17"
30219,2000,1,8,"RM","Rodent","weight","13"
30220,2000,1,10,"OT","Rodent","sex","F"
30220,2000,1,10,"OT","Rodent","hindfoot_length","20"
30220,2000,1,10,"OT","Rodent","weight","25"
30221,2000,1,10,"PB","Rodent","sex","F"
30221,2000,1,10,"PB","Rodent","hindfoot_length","25"
30221,2000,1,10,"PB","Rodent","weight","29"
30222,2000,1,10,"PB","Rodent","sex","M"
30222,2000,1,10,"PB","Rodent","hindfoot_length","26"
30222,2000,1,10,"PB","Rodent","weight","36"
30223,2000,1,10,"PB","Rodent","sex","F"
30223,2000,1,10,"PB","Rodent","hindfoot_length","26"
30223,2000,1,10,"PB","Rodent","weight","30"
30224,2000,1,10,"PB","Rodent","sex","F"
30224,2000,1,10,"PB","Rodent","hindfoot_length","26"
30224,2000,1,10,"PB","Rodent","weight","28"
30225,2000,1,10,"PP","Rodent","sex","M"
30225,2000,1,10,"PP","Rodent","hindfoot_length","22"
30225,2000,1,10,"PP","Rodent","weight","17"
30226,2000,1,10,"PB","Rodent","sex","M"
30226,2000,1,10,"PB","Rodent","hindfoot_length","27"
30226,2000,1,10,"PB","Rodent","weight","52"
30227,2000,1,10,"DM","Rodent","sex","M"
30227,2000,1,10,"DM","Rodent","hindfoot_length","34"
30227,2000,1,10,"DM","Rodent","weight","45"
30228,2000,1,10,"PB","Rodent","sex","M"
30228,2000,1,10,"PB","Rodent","hindfoot_length","25"
30228,2000,1,10,"PB","Rodent","weight","30"
30229,2000,1,10,"SH","Rodent","sex","M"
30229,2000,1,10,"SH","Rodent","hindfoot_length","30"
30229,2000,1,10,"SH","Rodent","weight","72"
30230,2000,1,10,"PB","Rodent","sex","M"
30230,2000,1,10,"PB","Rodent","hindfoot_length","26"
30230,2000,1,10,"PB","Rodent","weight","30"
30231,2000,1,10,"PP","Rodent","sex","M"
30231,2000,1,10,"PP","Rodent","hindfoot_length","23"
30231,2000,1,10,"PP","Rodent","weight","17"
30232,2000,1,10,"PB","Rodent","sex","M"
30232,2000,1,10,"PB","Rodent","hindfoot_length","24"
30232,2000,1,10,"PB","Rodent","weight","24"
30233,2000,1,10,"OT","Rodent","sex","F"
30233,2000,1,10,"OT","Rodent","hindfoot_length","20"
30233,2000,1,10,"OT","Rodent","weight","20"
30234,2000,1,10,"OT","Rodent","sex","M"
30234,2000,1,10,"OT","Rodent","hindfoot_length","20"
30234,2000,1,10,"OT","Rodent","weight","27"
30235,2000,1,10,"PP","Rodent","sex","M"
30235,2000,1,10,"PP","Rodent","hindfoot_length","23"
30235,2000,1,10,"PP","Rodent","weight","21"
30236,2000,1,10,"PP","Rodent","sex","M"
30236,2000,1,10,"PP","Rodent","hindfoot_length","22"
30236,2000,1,10,"PP","Rodent","weight","16"
30237,2000,1,10,"PP","Rodent","sex","M"
30237,2000,1,10,"PP","Rodent","hindfoot_length","22"
30237,2000,1,10,"PP","Rodent","weight","19"
30238,2000,1,10,"PP","Rodent","sex","F"
30238,2000,1,10,"PP","Rodent","hindfoot_length","21"
30238,2000,1,10,"PP","Rodent","weight",NA
30239,2000,1,10,"PB","Rodent","sex","F"
30239,2000,1,10,"PB","Rodent","hindfoot_length","25"
30239,2000,1,10,"PB","Rodent","weight","31"
30240,2000,1,10,"PP","Rodent","sex","M"
30240,2000,1,10,"PP","Rodent","hindfoot_length","19"
30240,2000,1,10,"PP","Rodent","weight","15"
30241,2000,1,10,"DM","Rodent","sex","M"
30241,2000,1,10,"DM","Rodent","hindfoot_length","35"
30241,2000,1,10,"DM","Rodent","weight","43"
30242,2000,1,10,"DM","Rodent","sex","M"
30242,2000,1,10,"DM","Rodent","hindfoot_length","35"
30242,2000,1,10,"DM","Rodent","weight","44"
30243,2000,1,10,"DO","Rodent","sex","M"
30243,2000,1,10,"DO","Rodent","hindfoot_length","35"
30243,2000,1,10,"DO","Rodent","weight","51"
30244,2000,1,10,"DM","Rodent","sex","M"
30244,2000,1,10,"DM","Rodent","hindfoot_length","35"
30244,2000,1,10,"DM","Rodent","weight","44"
30245,2000,1,10,"PP","Rodent","sex","M"
30245,2000,1,10,"PP","Rodent","hindfoot_length","21"
30245,2000,1,10,"PP","Rodent","weight","16"
30246,2000,1,10,"DM","Rodent","sex","F"
30246,2000,1,10,"DM","Rodent","hindfoot_length","33"
30246,2000,1,10,"DM","Rodent","weight","54"
30247,2000,1,10,"PP","Rodent","sex","F"
30247,2000,1,10,"PP","Rodent","hindfoot_length","21"
30247,2000,1,10,"PP","Rodent","weight","16"
30248,2000,1,10,"DM","Rodent","sex","M"
30248,2000,1,10,"DM","Rodent","hindfoot_length","34"
30248,2000,1,10,"DM","Rodent","weight","50"
30249,2000,1,10,"DM","Rodent","sex","M"
30249,2000,1,10,"DM","Rodent","hindfoot_length","36"
30249,2000,1,10,"DM","Rodent","weight","43"
30250,2000,1,10,"DM","Rodent","sex","M"
30250,2000,1,10,"DM","Rodent","hindfoot_length","35"
30250,2000,1,10,"DM","Rodent","weight","27"
30251,2000,1,10,"DM","Rodent","sex","F"
30251,2000,1,10,"DM","Rodent","hindfoot_length","34"
30251,2000,1,10,"DM","Rodent","weight","46"
30252,2000,1,10,"DM","Rodent","sex","M"
30252,2000,1,10,"DM","Rodent","hindfoot_length","35"
30252,2000,1,10,"DM","Rodent","weight","52"
30253,2000,1,10,"RM","Rodent","sex","F"
30253,2000,1,10,"RM","Rodent","hindfoot_length","15"
30253,2000,1,10,"RM","Rodent","weight","16"
30254,2000,1,10,"DM","Rodent","sex","M"
30254,2000,1,10,"DM","Rodent","hindfoot_length","36"
30254,2000,1,10,"DM","Rodent","weight","43"
30255,2000,1,10,"PP","Rodent","sex","F"
30255,2000,1,10,"PP","Rodent","hindfoot_length","21"
30255,2000,1,10,"PP","Rodent","weight","16"
30256,2000,1,10,"PP","Rodent","sex","M"
30256,2000,1,10,"PP","Rodent","hindfoot_length","23"
30256,2000,1,10,"PP","Rodent","weight","16"
30257,2000,1,10,"PB","Rodent","sex","M"
30257,2000,1,10,"PB","Rodent","hindfoot_length","26"
30257,2000,1,10,"PB","Rodent","weight","24"
30258,2000,1,10,"PP","Rodent","sex","F"
30258,2000,1,10,"PP","Rodent","hindfoot_length","19"
30258,2000,1,10,"PP","Rodent","weight","17"
30259,2000,1,10,"PB","Rodent","sex","M"
30259,2000,1,10,"PB","Rodent","hindfoot_length","24"
30259,2000,1,10,"PB","Rodent","weight","37"
30260,2000,1,10,"PP","Rodent","sex","F"
30260,2000,1,10,"PP","Rodent","hindfoot_length","22"
30260,2000,1,10,"PP","Rodent","weight","15"
30261,2000,1,10,"DO","Rodent","sex","M"
30261,2000,1,10,"DO","Rodent","hindfoot_length","36"
30261,2000,1,10,"DO","Rodent","weight","49"
30262,2000,1,10,"PB","Rodent","sex","F"
30262,2000,1,10,"PB","Rodent","hindfoot_length","25"
30262,2000,1,10,"PB","Rodent","weight","29"
30263,2000,1,10,"OT","Rodent","sex","M"
30263,2000,1,10,"OT","Rodent","hindfoot_length","20"
30263,2000,1,10,"OT","Rodent","weight","24"
30264,2000,1,10,"PP","Rodent","sex","F"
30264,2000,1,10,"PP","Rodent","hindfoot_length","21"
30264,2000,1,10,"PP","Rodent","weight","13"
30265,2000,1,10,"OT","Rodent","sex","M"
30265,2000,1,10,"OT","Rodent","hindfoot_length","19"
30265,2000,1,10,"OT","Rodent","weight","22"
30266,2000,1,10,"PB","Rodent","sex","M"
30266,2000,1,10,"PB","Rodent","hindfoot_length","26"
30266,2000,1,10,"PB","Rodent","weight","32"
30267,2000,1,10,"PB","Rodent","sex","M"
30267,2000,1,10,"PB","Rodent","hindfoot_length","25"
30267,2000,1,10,"PB","Rodent","weight","30"
30268,2000,1,10,"PB","Rodent","sex","M"
30268,2000,1,10,"PB","Rodent","hindfoot_length","25"
30268,2000,1,10,"PB","Rodent","weight","31"
30269,2000,1,10,"PB","Rodent","sex","F"
30269,2000,1,10,"PB","Rodent","hindfoot_length","24"
30269,2000,1,10,"PB","Rodent","weight","28"
30270,2000,1,10,"PP","Rodent","sex","M"
30270,2000,1,10,"PP","Rodent","hindfoot_length","19"
30270,2000,1,10,"PP","Rodent","weight","13"
30271,2000,1,10,"DM","Rodent","sex","M"
30271,2000,1,10,"DM","Rodent","hindfoot_length","34"
30271,2000,1,10,"DM","Rodent","weight","41"
30272,2000,1,10,"PP","Rodent","sex","M"
30272,2000,1,10,"PP","Rodent","hindfoot_length","19"
30272,2000,1,10,"PP","Rodent","weight","16"
30273,2000,1,10,"DM","Rodent","sex","M"
30273,2000,1,10,"DM","Rodent","hindfoot_length","35"
30273,2000,1,10,"DM","Rodent","weight","37"
30274,2000,1,10,"AH","Rodent","sex",""
30274,2000,1,10,"AH","Rodent","hindfoot_length",NA
30274,2000,1,10,"AH","Rodent","weight",NA
30275,2000,1,10,"AH","Rodent","sex",""
30275,2000,1,10,"AH","Rodent","hindfoot_length",NA
30275,2000,1,10,"AH","Rodent","weight",NA
30276,2000,1,10,"PP","Rodent","sex","F"
30276,2000,1,10,"PP","Rodent","hindfoot_length","21"
30276,2000,1,10,"PP","Rodent","weight","16"
30277,2000,1,10,"OT","Rodent","sex","F"
30277,2000,1,10,"OT","Rodent","hindfoot_length","20"
30277,2000,1,10,"OT","Rodent","weight","19"
30278,2000,1,10,"PP","Rodent","sex","M"
30278,2000,1,10,"PP","Rodent","hindfoot_length","21"
30278,2000,1,10,"PP","Rodent","weight","16"
30279,2000,1,10,"PP","Rodent","sex","F"
30279,2000,1,10,"PP","Rodent","hindfoot_length","20"
30279,2000,1,10,"PP","Rodent","weight","14"
30280,2000,1,10,"PM","Rodent","sex","F"
30280,2000,1,10,"PM","Rodent","hindfoot_length","20"
30280,2000,1,10,"PM","Rodent","weight","30"
30281,2000,1,10,"RM","Rodent","sex","F"
30281,2000,1,10,"RM","Rodent","hindfoot_length","15"
30281,2000,1,10,"RM","Rodent","weight","19"
30282,2000,1,10,"PP","Rodent","sex","F"
30282,2000,1,10,"PP","Rodent","hindfoot_length","22"
30282,2000,1,10,"PP","Rodent","weight","19"
30284,2000,2,5,"DO","Rodent","sex","M"
30284,2000,2,5,"DO","Rodent","hindfoot_length",NA
30284,2000,2,5,"DO","Rodent","weight","53"
30285,2000,2,5,"PP","Rodent","sex","M"
30285,2000,2,5,"PP","Rodent","hindfoot_length","24"
30285,2000,2,5,"PP","Rodent","weight","19"
30286,2000,2,5,"PP","Rodent","sex","F"
30286,2000,2,5,"PP","Rodent","hindfoot_length","22"
30286,2000,2,5,"PP","Rodent","weight","18"
30287,2000,2,5,"PB","Rodent","sex","F"
30287,2000,2,5,"PB","Rodent","hindfoot_length","26"
30287,2000,2,5,"PB","Rodent","weight","35"
30288,2000,2,5,"PB","Rodent","sex","F"
30288,2000,2,5,"PB","Rodent","hindfoot_length","25"
30288,2000,2,5,"PB","Rodent","weight","27"
30289,2000,2,5,"DO","Rodent","sex","F"
30289,2000,2,5,"DO","Rodent","hindfoot_length","35"
30289,2000,2,5,"DO","Rodent","weight","48"
30290,2000,2,5,"DO","Rodent","sex","F"
30290,2000,2,5,"DO","Rodent","hindfoot_length","36"
30290,2000,2,5,"DO","Rodent","weight","65"
30291,2000,2,5,"OT","Rodent","sex","F"
30291,2000,2,5,"OT","Rodent","hindfoot_length","21"
30291,2000,2,5,"OT","Rodent","weight","29"
30292,2000,2,5,"DM","Rodent","sex","F"
30292,2000,2,5,"DM","Rodent","hindfoot_length","37"
30292,2000,2,5,"DM","Rodent","weight","46"
30293,2000,2,5,"DM","Rodent","sex","M"
30293,2000,2,5,"DM","Rodent","hindfoot_length","36"
30293,2000,2,5,"DM","Rodent","weight","50"
30294,2000,2,5,"DO","Rodent","sex","F"
30294,2000,2,5,"DO","Rodent","hindfoot_length","34"
30294,2000,2,5,"DO","Rodent","weight","49"
30295,2000,2,5,"DO","Rodent","sex","M"
30295,2000,2,5,"DO","Rodent","hindfoot_length","35"
30295,2000,2,5,"DO","Rodent","weight","59"
30296,2000,2,5,"PP","Rodent","sex","F"
30296,2000,2,5,"PP","Rodent","hindfoot_length","23"
30296,2000,2,5,"PP","Rodent","weight","24"
30297,2000,2,5,"PB","Rodent","sex","M"
30297,2000,2,5,"PB","Rodent","hindfoot_length","26"
30297,2000,2,5,"PB","Rodent","weight","30"
30298,2000,2,5,"PB","Rodent","sex","M"
30298,2000,2,5,"PB","Rodent","hindfoot_length","26"
30298,2000,2,5,"PB","Rodent","weight","46"
30299,2000,2,5,"PB","Rodent","sex","F"
30299,2000,2,5,"PB","Rodent","hindfoot_length","25"
30299,2000,2,5,"PB","Rodent","weight","29"
30300,2000,2,5,"PB","Rodent","sex","F"
30300,2000,2,5,"PB","Rodent","hindfoot_length","26"
30300,2000,2,5,"PB","Rodent","weight","42"
30301,2000,2,5,"PP","Rodent","sex","M"
30301,2000,2,5,"PP","Rodent","hindfoot_length","22"
30301,2000,2,5,"PP","Rodent","weight","18"
30302,2000,2,5,"PP","Rodent","sex","F"
30302,2000,2,5,"PP","Rodent","hindfoot_length","22"
30302,2000,2,5,"PP","Rodent","weight","17"
30303,2000,2,5,"DO","Rodent","sex","F"
30303,2000,2,5,"DO","Rodent","hindfoot_length","36"
30303,2000,2,5,"DO","Rodent","weight","52"
30304,2000,2,5,"PP","Rodent","sex","M"
30304,2000,2,5,"PP","Rodent","hindfoot_length","22"
30304,2000,2,5,"PP","Rodent","weight","18"
30305,2000,2,5,"DO","Rodent","sex","M"
30305,2000,2,5,"DO","Rodent","hindfoot_length","37"
30305,2000,2,5,"DO","Rodent","weight","54"
30306,2000,2,5,"PP","Rodent","sex","M"
30306,2000,2,5,"PP","Rodent","hindfoot_length","22"
30306,2000,2,5,"PP","Rodent","weight","17"
30307,2000,2,5,"NL","Rodent","sex","F"
30307,2000,2,5,"NL","Rodent","hindfoot_length","33"
30307,2000,2,5,"NL","Rodent","weight","185"
30308,2000,2,5,"NL","Rodent","sex","F"
30308,2000,2,5,"NL","Rodent","hindfoot_length","31"
30308,2000,2,5,"NL","Rodent","weight","144"
30309,2000,2,5,"NL","Rodent","sex",""
30309,2000,2,5,"NL","Rodent","hindfoot_length",NA
30309,2000,2,5,"NL","Rodent","weight","183"
30310,2000,2,5,"PP","Rodent","sex","M"
30310,2000,2,5,"PP","Rodent","hindfoot_length","19"
30310,2000,2,5,"PP","Rodent","weight","15"
30311,2000,2,5,"PB","Rodent","sex","M"
30311,2000,2,5,"PB","Rodent","hindfoot_length","27"
30311,2000,2,5,"PB","Rodent","weight","43"
30312,2000,2,5,"PB","Rodent","sex","M"
30312,2000,2,5,"PB","Rodent","hindfoot_length","25"
30312,2000,2,5,"PB","Rodent","weight","24"
30313,2000,2,5,"DM","Rodent","sex","F"
30313,2000,2,5,"DM","Rodent","hindfoot_length","36"
30313,2000,2,5,"DM","Rodent","weight","47"
30314,2000,2,5,"DO","Rodent","sex","M"
30314,2000,2,5,"DO","Rodent","hindfoot_length","33"
30314,2000,2,5,"DO","Rodent","weight","54"
30315,2000,2,5,"PB","Rodent","sex","M"
30315,2000,2,5,"PB","Rodent","hindfoot_length","26"
30315,2000,2,5,"PB","Rodent","weight","33"
30316,2000,2,5,"DM","Rodent","sex","F"
30316,2000,2,5,"DM","Rodent","hindfoot_length","33"
30316,2000,2,5,"DM","Rodent","weight","33"
30317,2000,2,5,"PP","Rodent","sex","M"
30317,2000,2,5,"PP","Rodent","hindfoot_length","22"
30317,2000,2,5,"PP","Rodent","weight","17"
30318,2000,2,5,"DO","Rodent","sex","F"
30318,2000,2,5,"DO","Rodent","hindfoot_length","35"
30318,2000,2,5,"DO","Rodent","weight","56"
30319,2000,2,5,"PP","Rodent","sex","M"
30319,2000,2,5,"PP","Rodent","hindfoot_length","22"
30319,2000,2,5,"PP","Rodent","weight","22"
30320,2000,2,5,"PB","Rodent","sex","F"
30320,2000,2,5,"PB","Rodent","hindfoot_length","25"
30320,2000,2,5,"PB","Rodent","weight","35"
30321,2000,2,5,"PB","Rodent","sex","F"
30321,2000,2,5,"PB","Rodent","hindfoot_length","25"
30321,2000,2,5,"PB","Rodent","weight","23"
30322,2000,2,5,"PB","Rodent","sex","F"
30322,2000,2,5,"PB","Rodent","hindfoot_length","26"
30322,2000,2,5,"PB","Rodent","weight","34"
30323,2000,2,5,"PB","Rodent","sex","M"
30323,2000,2,5,"PB","Rodent","hindfoot_length","26"
30323,2000,2,5,"PB","Rodent","weight","21"
30324,2000,2,5,"PB","Rodent","sex","F"
30324,2000,2,5,"PB","Rodent","hindfoot_length","25"
30324,2000,2,5,"PB","Rodent","weight","30"
30325,2000,2,5,"PB","Rodent","sex","M"
30325,2000,2,5,"PB","Rodent","hindfoot_length","24"
30325,2000,2,5,"PB","Rodent","weight","24"
30326,2000,2,5,"AB","Bird","sex",""
30326,2000,2,5,"AB","Bird","hindfoot_length",NA
30326,2000,2,5,"AB","Bird","weight",NA
30327,2000,2,5,"PB","Rodent","sex","F"
30327,2000,2,5,"PB","Rodent","hindfoot_length","27"
30327,2000,2,5,"PB","Rodent","weight","30"
30328,2000,2,5,"DM","Rodent","sex","F"
30328,2000,2,5,"DM","Rodent","hindfoot_length","34"
30328,2000,2,5,"DM","Rodent","weight","42"
30329,2000,2,5,"DO","Rodent","sex","F"
30329,2000,2,5,"DO","Rodent","hindfoot_length","35"
30329,2000,2,5,"DO","Rodent","weight","54"
30330,2000,2,5,"PP","Rodent","sex","F"
30330,2000,2,5,"PP","Rodent","hindfoot_length","22"
30330,2000,2,5,"PP","Rodent","weight","16"
30331,2000,2,5,"DM","Rodent","sex","M"
30331,2000,2,5,"DM","Rodent","hindfoot_length","34"
30331,2000,2,5,"DM","Rodent","weight","36"
30332,2000,2,5,"PB","Rodent","sex","M"
30332,2000,2,5,"PB","Rodent","hindfoot_length","26"
30332,2000,2,5,"PB","Rodent","weight","38"
30333,2000,2,5,"PB","Rodent","sex","M"
30333,2000,2,5,"PB","Rodent","hindfoot_length","25"
30333,2000,2,5,"PB","Rodent","weight","26"
30334,2000,2,5,"PP","Rodent","sex","F"
