citricacid,sugar,chlorides,density,sulphates,alcohol,quality
0.36,5.9,0.074,0.9978,0.83,10.5,5
0.36,5.9,0.074,0.9978,0.83,10.5,5
0.3,2.8,0.088,0.9976,0.51,9.3,4
0.2,2.6,0.332,0.9968,0.9,10.5,6
0.22,2.2,0.069,0.9968,1.2,10.3,5
0.02,1.8,0.05,0.9962,0.52,9.5,5
0.15,2.1,0.054,0.9934,0.56,13.1,4
0.43,2.2,0.114,0.997,0.73,9.2,5
0.52,1.6,0.113,0.9969,0.58,9.5,5
0.23,1.6,0.066,0.9958,0.56,9.2,5
0.37,1.4,0.074,0.9954,0.58,9.2,5
0.26,1.7,0.074,0.9971,0.74,9.2,5
0.04,2.2,0.069,0.9956,0.63,9.4,6
0.04,2.1,0.068,0.9955,0.64,9.4,6
0.36,3,0.081,0.997,0.56,9.4,5
0.15,2.8,0.11,0.9955,0.63,10.2,6
0.04,3.8,0.084,0.9978,0.53,9.5,5
0.57,3.4,0.07,0.9971,0.63,9.6,5
0.12,5.1,0.111,0.9983,0.77,9.4,5
0.18,2.3,0.076,0.9975,0.59,10,5
0.31,2.4,0.074,0.9962,0.54,9.4,6
0.4,2.2,0.079,0.998,0.64,9.2,5
0.49,1.8,0.115,0.9968,0.71,9.3,5
0.16,1.9,0.085,0.9968,0.62,9.5,7
0.05,2,0.081,0.9966,0.57,9.8,5
0.05,4.65,0.086,0.9962,0.39,10.9,5
0.05,4.65,0.086,0.9962,0.39,10.9,5
0.11,1.5,0.079,0.9968,0.58,9.6,5
0.07,1.6,0.076,0.9962,0.58,10.7,5
0.57,2,0.074,0.9969,0.79,10.7,5
0.05,1.9,0.074,0.9962,0.95,10.5,6
0.08,1.9,0.076,0.9967,0.54,9.5,6
0.23,2.1,0.088,0.9962,0.48,9.5,5
0.22,1.9,0.084,0.9961,0.48,9.5,5
0.26,2.1,0.084,0.9976,0.53,9.2,4
0.54,2.5,0.094,0.9984,0.82,9.6,5
0.64,2.2,0.093,0.9986,0.66,10.5,5
0.64,2.2,0.093,0.9986,0.66,10.5,5
0,2.4,0.104,0.9966,0.55,10.7,6
0.12,2,0.086,0.9958,0.52,10.1,5
0.2,1.5,0.08,0.9972,1.12,9.1,4
0.2,1.6,0.069,0.9958,0.56,9.2,5
0.7,1.9,0.464,0.9974,1.28,9.4,5
0.47,2,0.086,0.997,0.57,9.1,5
0.26,1.8,0.401,0.9969,1.14,9.4,5
0.48,1.8,0.069,0.9959,0.78,10.3,6
0.15,2.2,0.076,0.9961,0.59,10.1,5
0.28,1.9,0.11,0.9972,1.95,9.9,6
0.26,1.9,0.062,0.9966,0.64,9.6,5
0.44,2.1,0.107,0.9978,1.22,9.5,5
0.08,1.8,0.076,0.9978,0.53,9,5
0.26,1.9,0.079,0.9964,0.54,9.5,5
0.28,1.9,0.11,0.9972,1.95,9.9,6
0.29,2,0.11,0.9972,1.98,9.8,5
0.26,1.9,0.062,0.9966,0.64,9.6,5
0.04,1.4,0.045,0.9938,0.48,10.5,4
0.17,2.3,0.058,0.9932,0.6,12.9,6
0,3,0.102,0.9965,0.56,10.7,5
0.25,2,0.07,0.9963,0.63,9.2,5
0.06,2.5,0.079,0.9967,0.56,9.8,5
0.18,1.9,0.08,0.9972,0.59,9,6
0.3,2.1,0.084,0.9972,0.61,10.2,6
0.3,1.9,0.075,0.9959,0.56,10.4,6
0.18,1.9,0.08,0.9972,0.59,9,6
0.22,2.1,0.077,0.9967,0.51,9.2,5
0.24,2.2,0.07,0.996,0.48,9.4,5
0.22,2.1,0.077,0.9967,0.51,9.2,5
0.68,1.7,0.467,0.9973,1.31,9.3,5
0.31,1.7,0.088,0.9969,0.79,9.3,5
0.53,2.5,0.091,0.9976,0.8,9.6,6
0.52,2,0.122,0.9969,0.69,9.3,5
0.19,1.8,0.104,0.9964,0.93,9.5,5
0.09,2.2,0.084,0.9964,0.66,9.8,5
0.1,2.2,0.085,0.9964,0.66,9.8,5
0.44,2.3,0.08,0.9988,0.67,9.7,6
0.19,1.8,0.104,0.9964,0.93,9.5,5
0.31,2.2,0.09,0.9966,0.63,10.5,6
0.28,1.9,0.077,0.9978,0.61,10,6
0.12,2,0.082,0.997,0.5,9.4,6
0.04,2.2,0.119,0.9962,0.6,10.9,6
0.08,1.8,0.097,0.9959,0.54,9.2,6
0.09,1.7,0.178,0.9962,0.57,9,5
0.04,2.2,0.119,0.9962,0.6,10.9,6
0,2.5,0.075,0.998,0.52,9.2,5
0,2.6,0.08,0.9976,0.53,9.5,5
0.17,1.6,0.082,0.996,0.48,9.5,5
0.04,1.9,0.146,0.9984,0.7,9.4,5
0,1.7,0.081,0.9964,0.49,10.9,5
0,1.8,0.082,0.9964,0.48,10.9,5
0.16,1.8,0.065,0.9962,0.92,10.5,7
0.15,1.8,0.072,0.9955,0.57,9.4,5
0.56,2,0.118,0.9968,0.66,9.4,5
0.09,2.3,0.049,0.9937,0.63,13,5
0.09,2.3,0.049,0.9937,0.63,13,5
0.01,1.5,0.06,0.9952,0.58,9.8,6
0.05,2.2,0.084,0.9959,0.55,9.9,6
0.11,1.9,0.09,0.9965,0.82,9.6,5
0.15,1.8,0.089,0.9968,0.77,9.5,5
0.36,2,0.081,0.9972,0.64,9.2,5
0.19,2.1,0.081,0.9962,0.54,9.5,5
0.19,2,0.081,0.9962,0.54,9.5,5
0.11,1.9,0.09,0.9965,0.82,9.6,5
0.15,1.8,0.089,0.9968,0.77,9.5,5
0,1.8,0.05,0.9916,0.79,14,6
0.08,1.7,0.066,0.9954,0.58,9.4,5
0,1.8,0.05,0.9916,0.79,14,6
0.55,1.8,0.117,0.9968,0.62,9.4,5
0.02,1.8,0.087,0.9944,0.52,10,5
0.26,1.6,0.236,0.9968,0.8,9.3,5
0.1,2.3,0.074,0.9959,0.58,10.2,6
0.44,2.8,0.089,0.9975,0.61,10.5,6
0.47,2.1,0.077,0.9958,0.53,10.3,6
1,3.4,0.61,0.9996,2,9.4,4
0.03,1.8,0.095,0.995,0.54,10.1,5
0.03,1.8,0.095,0.995,0.54,10.1,5
0.42,5.5,0.07,0.9973,0.72,10.5,5
0.42,5.5,0.071,0.9973,0.71,10.5,5
0.42,5.5,0.07,0.9973,0.72,10.5,5
0.42,5.5,0.071,0.9973,0.71,10.5,5
0,2.2,0.073,0.9969,0.5,9.3,5
0.18,1.9,0.079,0.9968,0.57,9.3,6
0.03,2,0.09,0.9959,0.56,9.6,5
0.02,1.3,0.072,0.9965,1.08,9.2,4
0.04,1.7,0.076,0.9964,0.56,10,6
0.26,7.3,0.07,0.9982,0.49,9.4,5
0.26,7.2,0.07,0.9981,0.49,9.4,5
0.48,1.7,0.1,0.9961,0.62,9.5,5
0.1,2.1,0.085,0.9956,0.52,10.2,5
0.03,1.6,0.072,0.9956,0.48,9,4
0.07,2.1,0.089,0.9953,0.55,10.4,6
0.24,1.8,0.36,0.9964,1.59,9.5,5
0.03,1.8,0.058,0.9972,0.33,9.1,4
0.17,2,0.073,0.9972,0.61,9.2,6
0.17,2,0.073,0.9972,0.61,9.2,6
0.05,1.9,0.068,0.9961,0.57,11.5,6
0.21,2,0.08,0.9961,0.47,9.5,5
0.04,1.5,0.085,0.9958,0.78,9.5,5
0.21,2,0.08,0.9961,0.47,9.5,5
0.42,2.3,0.087,0.9972,0.61,10.5,6
0,2.5,0.068,0.9969,0.56,9.6,5
0.14,2.4,0.067,0.9969,0.59,9.5,5
0.14,2.4,0.067,0.9969,0.59,9.5,5
0.49,2,0.27,0.9972,1.02,9.3,5
0.02,2.5,0.076,0.9972,0.52,9.3,5
0.2,1.8,0.077,0.9971,0.58,9.3,5
0.21,1.9,0.079,0.997,0.58,9.3,6
0.57,2,0.111,0.9971,0.53,9.7,5
0.48,2,0.082,0.9972,0.55,9.2,5
0.1,2.6,0.084,0.9976,0.49,9.7,5
0.33,2,0.084,0.9968,0.55,9.5,5
0.32,1.9,0.082,0.9968,0.55,9.5,5
0.35,2.9,0.077,0.9976,0.62,9.4,5
0.25,1.9,0.074,0.9974,0.62,9.8,6
0.12,3.8,0.099,0.9969,0.61,9.5,5
0.21,2.2,0.071,0.9964,0.55,9.7,5
0.21,2.2,0.071,0.9964,0.55,9.7,5
0.33,2,0.074,0.9968,0.54,9.4,5
0.3,2.4,0.074,0.9968,0.59,10.2,5
0.6,2,0.067,0.9981,0.97,10.1,6
0.08,1.2,0.046,0.9924,0.85,13,7
0.06,2.1,0.061,0.9948,0.43,11.4,4
0.47,1.4,0.056,0.99695,0.82,10.3,7
0.48,2.1,0.097,0.9975,1.03,9.3,5
0.11,1.5,0.075,0.99545,0.79,9.5,5
0.35,1.6,0.088,0.9961,0.55,9.2,5
0.36,1.6,0.089,0.99615,0.56,9.2,6
0.74,2.6,0.095,0.9994,0.77,10.8,7
0.74,2.6,0.095,0.9994,0.77,10.8,7
0.31,1.8,0.069,0.99625,0.53,9.3,5
0.28,2.7,0.1,0.9966,0.67,9.4,5
0.58,2.1,0.054,0.998,0.88,10.5,7
0.6,2,0.039,0.99585,0.86,12.4,6
0.24,2.8,0.083,0.99685,0.56,10,6
0.64,2.1,0.059,0.998,0.67,10.2,6
0.26,2.2,0.06,0.9959,0.43,10.1,5
0.08,2.4,0.092,0.9974,0.71,9.8,6
0.49,5.6,0.06,0.9974,0.76,10.5,5
0.16,2,0.101,0.9962,0.57,11,5
0.22,2.2,0.072,0.9967,0.55,9.1,5
0.19,1.9,0.076,0.9957,0.54,9.7,5
0.33,2.4,0.08,0.99655,0.6,9.5,5
0.37,2,0.082,0.9964,0.59,9.4,6
0.26,2,0.101,0.9957,0.57,9.4,5
0.04,1.5,0.057,0.99525,0.6,9.5,5
0.25,2,0.083,0.99815,0.6,10,6
0.36,2,0.089,0.99745,0.57,10.4,4
0.25,2.6,0.073,0.99615,0.58,10.5,6
0.5,2,0.337,0.9964,1.61,9.5,6
0.14,2.6,0.089,0.9984,0.63,9.8,5
0.25,2.6,0.073,0.99615,0.58,10.5,6
0.25,2.6,0.081,0.99685,0.5,11,5
0.04,1.6,0.054,0.9927,0.62,12.2,7
0.06,1.8,0.078,0.99625,0.52,9.9,6
0.2,2.8,0.09,0.998,0.7,9.6,6
0.25,2.6,0.081,0.99685,0.5,11,5
0.09,2.3,0.065,0.99685,0.55,9,6
0,1.9,0.097,0.99675,0.58,9,6
0,1.9,0.097,0.99675,0.58,9,6
0,1.9,0.097,0.99675,0.58,9.2,6
0,1.9,0.097,0.99675,0.58,9,6
0.09,2.3,0.065,0.99685,0.55,9,6
0.37,1.7,0.263,0.9971,1.09,9.3,5
0.56,2.1,0.093,0.99925,0.71,10.9,6
0.1,1.8,0.102,0.99565,0.49,9.8,6
0.44,2.2,0.075,1.00005,0.84,9.2,7
0.44,2.2,0.075,1.00005,0.84,9.2,7
0,2,0.084,0.9983,0.96,9.9,6
0.07,1.9,0.075,0.99685,0.52,9.5,5
0.17,2.3,0.072,0.9963,0.45,9.3,5
0.06,1.7,0.074,0.99615,0.48,9.8,6
0,2,0.084,0.9983,0.96,9.9,6
0.44,1.6,0.063,0.9985,0.78,10,6
0,1.8,0.074,0.9972,0.7,9.9,6
0.48,3.1,0.09,0.9986,0.53,10.5,5
0.42,1.9,0.092,0.9959,0.59,9.5,5
0,1.8,0.074,0.9972,0.7,9.9,6
0.23,3.2,0.073,0.99675,0.57,9.3,5
0.37,2.2,0.075,0.998,0.62,9.2,5
0,2.1,0.075,0.9968,0.67,9.2,5
0.76,1.8,0.611,0.9968,1.26,9.4,5
0.47,2.6,0.085,0.99965,0.8,10.5,7
0.23,1.7,0.077,0.99625,0.65,9.3,5
0.04,2,0.087,0.99565,0.6,9.4,4
0.03,1.7,0.07,0.99575,0.57,10,5
0.23,1.8,0.077,0.9963,0.67,9.3,5
0.49,2.4,0.064,0.9999,0.87,10.9,5
0.52,1.8,0.071,0.9968,0.72,10.2,7
0,3.3,0.096,1.00025,0.72,9.8,4
0.46,3.6,0.078,0.9973,0.86,12.8,8
0.04,3,0.077,0.9987,0.91,9.4,6
0.51,4,0.104,0.9996,0.97,10.1,6
0.06,4,0.087,0.9965,0.67,10.7,6
0.51,4,0.104,0.9996,0.97,10.1,6
0.58,4,0.071,0.99935,0.78,10.1,5
0.2,2.4,0.076,0.99735,0.64,9.4,5
0.18,7,0.088,0.99915,0.77,9.4,5
0.06,4,0.087,0.9965,0.67,10.7,6
0.04,3,0.077,0.9987,0.91,9.4,6
0.51,4,0.104,0.9996,0.97,10.1,6
0.45,6.4,0.073,0.9976,0.82,12.6,8
0.32,5.6,0.087,0.9991,0.77,10.5,7
0.44,3.6,0.071,0.9986,0.82,9.3,6
0.68,3.5,0.358,0.9972,1.08,9.9,7
0.12,3,0.067,0.9971,0.57,9.1,5
0.32,5.6,0.087,0.9991,0.77,10.5,7
0.07,3.4,0.102,1.00015,0.71,9.8,5
0.07,3.4,0.102,1.00015,0.71,9.8,5
0.55,2,0.073,0.9997,0.76,10.3,6
0.12,3,0.092,0.9967,0.7,10.3,6
0.09,2.5,0.091,0.9976,0.86,10.6,7
0.53,3.3,0.105,1.001,0.95,9.2,5
0.09,2.5,0.091,0.9976,0.86,10.6,7
0.48,2,0.343,0.9979,0.71,10.5,5
0.23,2.7,0.091,0.9994,0.64,10.3,6
0.25,2.4,0.098,0.9964,0.6,10.1,6
0.52,3.2,0.094,1.0014,0.81,9.5,6
0.46,2.5,0.073,1.0001,0.64,9.5,5
0.37,2.6,0.086,0.9981,0.52,9.9,5
0.06,2,0.083,0.99855,0.73,9.6,5
0.02,2.3,0.094,0.9993,0.8,9.7,5
0.06,2.1,0.08,0.99845,0.71,9.6,5
0.06,2.6,0.086,0.9965,0.59,10.7,6
0.48,1.5,0.068,0.9973,0.64,10.1,6
0.12,2.6,0.092,0.9994,0.72,10,5
0.12,1.6,0.186,0.996,0.54,9.5,5
0.6,2.1,0.112,0.9973,0.52,9.2,5
0.48,2.5,0.063,0.9998,0.59,9.3,6
0.32,2.2,0.082,0.9966,0.52,9.4,5
0.42,2.4,0.213,0.9994,0.62,9.5,6
0.44,2.4,0.214,0.9994,0.63,9.5,6
0.38,1.7,0.062,0.9968,0.53,9.5,6
0.48,2.5,0.063,0.9998,0.59,9.3,6
0.24,2,0.072,0.996,0.54,9.4,6
0.31,2.8,0.093,0.99815,0.63,9.5,6
0.3,3,0.076,0.9976,0.53,9.4,5
0.29,2.6,0.087,0.99645,0.68,11,5
0.29,2.5,0.096,0.9962,0.65,11,6
0.23,3.4,0.102,0.9996,0.65,10.1,5
0.12,2.9,0.082,0.99865,0.64,10.4,6
0.39,3.2,0.083,0.9989,0.71,11.5,7
0.12,2.9,0.082,0.99865,0.64,10.4,6
0.39,3.2,0.083,0.9989,0.71,11.5,7
0.26,3.4,0.09,0.99975,0.62,9.7,5
0.05,2.3,0.079,0.99735,0.63,9.3,5
0.42,2.8,0.09,0.999,0.7,9.5,6
0.2,11,0.071,1.0015,0.69,9.2,6
0.2,11,0.071,1.0015,0.69,9.2,6
0.66,3.65,0.121,0.9978,0.74,11.5,7
0.5,4.5,0.107,0.998,0.83,11.5,5
0.62,2.6,0.082,1.0002,0.67,9.7,6
0.39,2,0.061,0.9981,0.62,9.5,5
0.64,2.9,0.122,0.998,0.66,12.5,6
0.64,2.9,0.122,0.998,0.66,12.5,6
0.28,3.2,0.066,0.9973,0.54,9.4,6
0.08,2.1,0.105,0.9958,0.52,11,5
0.01,2.5,0.078,0.9963,0.74,11.7,7
0.53,3.4,0.128,0.9992,0.84,12.2,7
0.45,1.9,0.052,0.9948,0.7,12.5,6
0.32,2.8,0.08,0.9974,0.64,10.3,5
0.58,3,0.103,1.0008,1,11.5,6
0.54,2.3,0.082,0.9997,1.36,9.8,7
0.5,2.4,0.066,1,1.18,9.2,6
0.48,2.7,0.065,0.9972,0.87,11.3,6
0.47,1.8,0.118,0.9982,0.75,9.8,6
0.47,1.8,0.118,0.9982,0.75,9.8,6
0.5,2.6,0.082,1.0006,0.78,10.7,6
0,1.9,0.067,0.9979,0.81,9.9,5
0.02,2.7,0.072,0.9955,0.89,12.3,7
0.67,3,0.093,0.9986,0.93,12,6
0.31,2.8,0.089,0.9979,0.92,10,6
0,2.6,0.093,0.9994,0.86,9.4,6
0.22,2.7,0.107,1.0004,0.98,9.9,6
0,2.6,0.096,0.9994,0.83,9.4,6
0,2.4,0.09,0.9974,0.73,9.3,5
0.79,4.8,0.12,1.0018,0.77,13,5
0.4,1.4,0.066,0.9912,0.59,11.9,6
0.01,2.4,0.078,0.9955,0.61,12.8,6
0.52,3,0.08,1.0001,0.88,11,5
0.66,2.95,0.116,0.997,0.75,11.7,7
0.66,3.1,0.109,1,0.85,10.4,7
0.66,2.6,0.088,1.001,0.68,9.8,6
0.23,2,0.099,0.9973,0.7,9.4,5
0.31,2.6,0.086,0.9982,0.91,9.9,6
0.66,2.5,0.072,0.9992,0.56,10,5
0.63,2,0.071,0.9988,0.87,10.2,5
0.66,5.8,0.083,1.0022,0.73,10,7
0.5,3.4,0.107,0.9979,0.93,11.8,6
0.66,5.8,0.083,1.0022,0.73,10,7
0.61,2.6,0.076,1,0.69,9,5
0.52,2.8,0.159,0.9998,0.64,9.4,5
0.53,2.4,0.074,0.9962,1.13,12,7
0.02,2.3,0.063,0.9975,0.78,9.9,5
0.4,1.6,0.056,0.9967,0.87,8.7,6
0.48,1.8,0.067,0.9967,1.04,10.6,6
0.22,2.2,0.106,0.9959,0.63,9.2,5
0.63,3.8,0.089,1.0014,0.81,10.8,6
0.71,4.4,0.124,0.9984,0.83,11.8,7
0.5,3,0.078,1.0003,1.11,11,6
0.53,2.4,0.074,0.9962,1.13,12,7
0.66,6.2,0.088,0.9988,0.99,13.3,6
0.38,2.5,0.094,0.9979,0.7,10.8,6
0.42,2,0.08,0.9974,0.8,9.4,6
0.68,2.9,0.085,1.0014,0.8,10,6
0.42,2,0.08,0.9974,0.8,9.4,6
0.42,2,0.08,0.9974,0.8,9.4,6
0.28,2.1,0.087,0.998,0.74,9.2,5
0.07,2.4,0.09,0.9979,0.76,9.7,6
0.26,2,0.088,0.9981,0.74,9.2,6
0.15,1.9,0.079,0.9972,0.54,9.6,6
0.26,1.9,0.088,0.9981,0.74,9.2,6
0.31,2.5,0.096,0.9982,0.7,10,7
0.05,1.4,0.045,0.9924,0.82,12.9,8
0.68,2.9,0.085,1.0014,0.8,10,6
0.52,2,0.082,0.998,0.51,9.5,5
0.61,2,0.112,0.997,0.54,9.1,5
0.65,2.3,0.063,0.9997,0.57,9.9,5
0.76,4.2,0.066,1.0004,0.6,13,7
0.02,7.9,0.122,0.9994,0.53,9.9,5
0.59,2.6,0.087,0.9988,0.65,11,6
0.59,2.6,0.087,0.9988,0.65,11,6
0.22,2.3,0.064,0.9963,0.55,9.4,5
0.02,7.9,0.122,0.9994,0.53,9.9,5
0.3,1.7,0.059,0.9949,0.47,10.8,6
0.54,2.6,0.085,1,0.61,10.5,6
0.49,2.7,0.085,0.9994,0.63,10.5,6
0.05,2.7,0.075,0.9974,0.61,9.1,5
0.46,1.4,0.059,0.9966,0.76,10.1,6
0.47,2.5,0.063,0.9981,0.65,10.8,6
0.66,3,0.093,0.9996,0.63,10.8,7
0.58,3.7,0.174,0.997,0.7,11.3,6
0.49,4.5,0.07,0.9981,0.57,9.6,4
0.34,2.5,0.08,0.9987,0.62,9.5,6
0.35,2.4,0.08,0.9987,0.62,9.5,5
0.16,1.9,0.1,0.9966,0.64,9.3,5
0.53,6.7,0.097,0.9986,0.82,11.7,7
0.34,2.7,0.087,0.9982,0.61,9.5,5
0.24,6.6,0.117,1.0014,1.07,9.3,5
0.64,2.2,0.111,0.997,0.66,11.7,6
0.12,1.9,0.091,0.9956,0.48,10.5,5
0.51,2,0.121,0.9996,0.76,10.4,6
0,1.8,0.066,0.9976,0.68,9.9,5
0.33,2.4,0.089,0.9972,0.73,11.8,7
0.03,2.3,0.059,0.9952,0.56,12.3,7
0.2,2,0.047,0.9955,0.44,10.9,5
0.47,2.1,0.066,0.9978,0.9,11,7
0.2,2,0.047,0.9955,0.44,10.9,5
0.03,2.3,0.059,0.9952,0.56,12.3,7
0.08,2.1,0.045,0.9949,0.49,11.4,6
0.22,1.9,0.077,0.9988,0.56,10.6,6
0.33,1.3,0.07,0.9978,0.6,9.3,5
0.63,2.4,0.088,0.9997,0.6,10.4,6
0.47,2.1,0.066,0.9978,0.9,11,7
0.35,2.2,0.074,0.9974,0.56,9.2,5
0.69,2.3,0.078,0.9958,0.65,12.8,6
0.63,2.3,0.091,1.0004,0.49,9.5,5
0.55,3.2,0.076,0.9996,0.89,9.9,6
0.63,2.3,0.091,1.0004,0.49,9.5,5
0.3,2,0.06,0.9958,0.56,10.2,6
0.73,3.2,0.066,0.9986,0.66,11.2,6
0.55,3.2,0.076,0.9996,0.89,9.9,6
0.18,1.5,0.062,0.9951,0.6,9.3,5
0.72,2.2,0.072,0.9987,0.82,9.8,8
0.65,2.15,0.068,0.9988,0.68,11.3,6
0.76,3.7,0.1,1.0032,0.68,11.2,7
0.49,2.7,0.077,0.9963,0.63,11.6,7
0.01,1.7,0.054,0.9934,0.84,12.5,7
0.1,2.1,0.079,0.9986,0.56,10.1,6
0.6,2.6,0.081,0.9996,0.73,10.5,5
0.29,2.1,0.127,0.9968,0.72,11.2,5
0.22,2,0.1,0.9967,0.56,10.2,6
0.69,2.8,0.095,0.9994,0.61,10.8,6
0.69,2.8,0.095,0.9994,0.61,10.8,6
0.53,1.8,0.413,0.9979,1.06,9.1,6
0.03,1.7,0.084,0.9968,0.63,10,6
0.63,2.8,0.084,0.9998,0.74,11.2,7
0.4,1.6,0.063,0.9952,0.63,11.1,5
0.67,5.2,0.086,0.9988,0.69,13.4,8
0.39,2.3,0.095,0.9986,0.58,10.3,5
0.21,2.7,0.097,0.9988,0.58,9.6,5
0.63,2.8,0.084,0.9998,0.74,11.2,7
0.66,2.2,0.074,1.0008,0.57,9,3
0.52,2.3,0.083,0.9976,0.61,11.3,6
0.22,2.6,0.087,0.9982,0.61,9.3,5
0.68,2.55,0.085,0.997,0.61,11.8,5
0.7,2.2,0.098,0.9972,0.53,9,5
0.54,2.1,0.084,0.9987,0.7,9.2,6
0.4,2.9,0.098,1.0006,0.91,9.7,5
0.42,2,0.069,0.9982,0.72,11.5,6
0.45,2.6,0.065,0.9947,0.79,14,6
0.69,2.1,0.09,1,0.62,9.2,6
0.02,1.2,0.07,0.9952,0.58,9.8,5
0.65,2.6,0.093,0.9996,0.61,10.6,5
0.42,2.4,0.081,0.997,0.71,11.4,6
0.55,2.6,0.083,0.9995,0.82,10.4,6
0.55,2.1,0.062,0.9971,0.79,10.6,5
0.51,1.7,0.08,0.9982,0.89,9.4,6
0.24,2.2,0.087,0.9988,0.6,10.2,5
0.41,2,0.091,0.998,0.7,9.7,5
0.49,1.8,0.075,0.9977,1.06,11,6
0.24,2.2,0.087,0.9988,0.6,10.2,5
0.11,2.7,0.077,0.9984,0.7,10.1,6
0.39,15.5,0.069,1.0026,0.66,9.2,5
0.56,2.8,0.08,0.9964,0.92,11.7,8
0.59,2.2,0.152,0.9986,1.05,9.4,5
0.6,2.2,0.152,0.9986,1.06,9.4,5
0.68,4.1,0.114,0.997,0.66,13.4,6
0.39,1.9,0.054,0.9976,0.47,10,5
0.39,1.9,0.054,0.9976,0.47,10,5
0.36,1.8,0.053,0.9982,0.42,10,6
0.55,2.8,0.081,1.0002,0.92,10.8,7
0.4,2.6,0.073,0.9984,0.75,10.2,6
0.27,2.8,0.078,0.9984,0.67,10.6,6
0.5,2.5,0.055,0.9952,0.79,13.3,7
0.51,2.6,0.052,0.995,0.9,13.4,7
0.31,3,0.086,1.0002,0.74,11.6,6
0.23,8.3,0.051,0.9952,0.55,12.1,6
0.53,2.6,0.07,0.9972,0.65,11,8
0.25,1.9,0.081,0.9984,0.65,9,6
0.32,2.5,0.09,0.9966,0.79,11.1,5
0.53,2.6,0.07,0.9972,0.65,11,8
0.31,3,0.086,1.0002,0.74,11.6,6
0.25,1.9,0.081,0.9984,0.65,9,6
0.73,6.55,0.074,0.999,0.85,12,7
0.73,6.55,0.074,0.999,0.85,12,7
0.47,1.9,0.078,0.9976,1.04,10.9,7
0.42,1.8,0.077,0.9976,1.05,10.8,7
0.63,2.9,0.072,0.9968,0.78,12.5,7
0.46,1.8,0.075,0.9976,1.02,10.8,7
0.55,2.3,0.084,1,0.71,9.5,6
0.31,2.2,0.09,0.9994,0.63,10.2,6
0.75,2.8,0.084,0.9986,0.68,11.4,7
0.49,4.6,0.073,0.9978,0.61,9.5,5
0.31,2.2,0.09,0.9994,0.63,10.2,6
0.48,2.1,0.125,0.998,0.81,9.7,6
0.64,2.4,0.107,0.9973,0.66,11.8,7
0.64,2.4,0.107,0.9973,0.66,11.8,7
0.49,6.1,0.122,1.001,1.14,9.3,5
0.49,4.3,0.1,1.001,0.74,11.9,6
0.49,2.1,0.2,0.9994,0.63,8.4,3
0.49,2.8,0.088,0.9972,0.68,11.7,6
0.49,2.5,0.088,0.9966,0.78,11,5
0.49,2.7,0.088,0.9982,0.9,10,6
0.49,2,0.088,0.998,0.64,9.1,5
0.49,2.3,0.099,0.9979,0.99,9.8,5
0.49,2.5,0.085,0.9978,0.55,9.4,5
0.49,2.4,0.086,0.9976,0.64,9.5,5
0.24,2.8,0.105,0.9998,0.67,9.9,5
0.49,2.5,0.088,0.9966,0.78,11,5
0.49,2.5,0.097,0.9962,0.77,11.4,6
0.49,2.6,0.084,0.9988,0.75,8.7,6
0.24,2.4,0.077,0.9974,0.57,9.4,5
0.24,2.1,0.078,0.999,0.87,10.3,6
0.49,2.7,0.098,1.0004,0.61,10.3,5
